date_time,nodes_x,nodes_y,edges,adjacency_matrix,spring_coeff,fitness
2023-07-05 18:33:34,"[1.4817661989313922, 0.707236764359858, 1.0165388253100438, 0.9891873124217727]","[1.2533450262059507, 1.1336429652790276, 1.3501296526047828, 1.1120730242042214]","[(0, 1), (0, 2), (0, 3), (1, 2), (3, 1)]","[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",9.202013242481108,0.007974525250276976
2023-07-05 18:38:34,"[1.3525548500986853, 1.0883514824936462, 0.8870104360131605, 0.863894875718928]","[1.1603921733218698, 1.3798837560736816, 0.8228080085219907, 1.4357872181020368]","[(0, 1), (0, 2), (0, 3), (1, 2), (3, 2)]","[[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]",6.003058557208964,0
2023-07-05 18:38:39,"[0.6381290254109704, -0.36780896235729543, -0.8873857622123072, 0.6505798751384387]","[0.9403398775941947, 1.4282531009452648, 0.9295927002739471, 1.065683063359688]","[(0, 1), (0, 2), (0, 3), (1, 3), (2, 1)]","[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",13.835018690177813,0
2023-07-05 18:38:42,"[1.488202389118623, 0.9381206609967812, 1.3213434584367167, 0.62280983871459]","[1.3769628689623408, 1.1840756559127854, 1.2278465823673215, 0.5626227378785537]","[(0, 1), (0, 2), (0, 3), (1, 2), (3, 1)]","[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",9.806320769113832,0
2023-07-05 18:39:41,"[1.435043421700803, 0.8061120682215851, 0.47902886353564966, 0.5629005413189345]","[1.2015348952527987, 1.5140551301939453, 0.970913111950586, 1.180274917844702]","[(0, 1), (0, 2), (0, 3), (2, 3), (3, 1)]","[[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",6.073268340964775,0
2023-07-05 18:40:45,"[0.713313416068937, 0.8775733008324524, 1.289312106275772, 0.9847595147276301]","[1.3576189290287544, 1.352902002099608, 1.756401306452425, -0.018952373018330748]","[(0, 1), (0, 2), (0, 3), (2, 1), (2, 3)]","[[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]",7.4589511202394485,0
2023-07-05 18:41:17,"[1.1343281388961832, 0.9819680059523188, 0.9787631076117121, 0.9777551759190509]","[1.4697752967116613, 1.377819979413765, 0.9279904516913217, 0.7520216335413421]","[(0, 1), (0, 2), (0, 3), (2, 1), (3, 2)]","[[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]",14.565615011862374,0.002426826209861288
2023-07-05 18:42:25,"[1.1123069217280843, 1.0593557752030587, 1.1388135743743084, 1.1656879382115535]","[1.4667910739100032, 1.3220437917843002, 0.5884197533938283, 0.9712903457219234]","[(0, 1), (0, 2), (0, 3), (2, 1), (3, 2)]","[[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]",7.579327537357136,0
2023-07-05 18:43:09,"[1.4075948893296368, 1.0277064282458501, 0.9529589792632812, 0.5100508969173692]","[1.0435881742706736, 1.2304474736736497, 0.8282797900021273, 0.7726140591245105]","[(0, 1), (0, 2), (0, 3), (2, 3), (3, 1)]","[[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",13.962999347248255,0.157320152353275
2023-07-05 19:27:03,"[0.7396840426589518, 0.8218100622329205, 0.5711229831675313, 1.1575037471689003]","[0.1199179434798836, 1.0225406844530416, 0.7240465676642497, 0.34854270086908157]","[(0, 1), (0, 2), (0, 3), (1, 3), (2, 1)]","[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",10.516591849710114,0
2023-07-05 19:27:28,"[1.4246039683298035, 0.8773667797360335, 1.0264138628073047, 1.202987257204858]","[0.8201154867887567, 0.8031674361648669, 1.418215884683644, 1.2697708894734503]","[(0, 1), (0, 2), (0, 3), (1, 2), (2, 3)]","[[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]",12.553218726245486,1.0775278769614758
2023-07-05 19:27:54,"[1.4061011641201295, 0.6949090373871867, 1.3159072119507025, 1.3355615677974786]","[1.380541771588484, 0.9628927824571326, 0.8541197953035874, 1.3394925687565948]","[(0, 1), (0, 2), (0, 3), (1, 3), (2, 1)]","[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",6.411826462087481,10.691552502117865
2023-07-05 19:30:02,"[1.4032517382350542, 0.8856986052954664, 1.048885473953672, 0.9127486510770701]","[1.3090398951061646, 1.2505736458240726, 0.8966942654123169, 0.856744748218142]","[(0, 1), (0, 2), (0, 3), (2, 3), (3, 1)]","[[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",13.447043207706358,44.46604327711165
2023-07-05 19:32:30,"[1.3841033208549927, 1.0148432138483663, 0.8806830375913179, 0.630647541263252]","[1.5273665527721991, 0.7526634644924793, 1.3200988700042564, 1.033259387697028]","[(0, 1), (0, 2), (0, 3), (1, 3), (3, 2)]","[[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",10.058402265282007,0.2426686805217828
