-2.962147,-0.531622,0-1,0.000028
2.180762,0.835608,0-2,0.000029
3.527958,3.424182,0-3,0.000028
3.007740,2.611588,0-4,0.000028
1.241298,2.890763,0-5,0.000013
0.061972,1.541661,0-6,0.000023
1.200721,-1.322449,0-7,0.000028
-0.441220,1.443395,1-2,0.000036
,,1-3,0.000028
,,1-4,0.000034
,,1-5,0.000027
,,1-6,0.000043
,,1-7,0.000028
,,2-3,0.000023
,,2-4,0.000012
,,2-5,0.000019
,,2-6,0.000041
,,2-7,0.000025
,,3-4,0.000040
,,3-5,0.000039
,,3-6,0.000040
,,3-7,0.000030
,,4-5,0.000025
,,4-6,0.000045
,,4-7,0.000029
,,5-6,0.000015
,,5-7,0.000022
,,6-7,0.000036
